I don't believe he's any relations that's flesh and blood!	I believe he's any relations that's flesh and blood!
It's why you haven't seen any holo-phones here in Luna City.	It's why you have seen any holo-phones here in Luna City.
Her twat was burning, it wanted to be fucked, it didn't have any scruples about who did the fucking.	Her twat was burning, it wanted to be fucked, it had any scruples about who did the fucking.
There aren't exactly any crowds to melt into.	There are exactly any crowds to melt into.
The other rangers had fanned out to cover more ground, and Alleria hoped they hadn't run into any orcs or trolls.	The other rangers had fanned out to cover more ground, and Alleria hoped they had run into any orcs or trolls.
But for you-all, there wouldn't be any doctors here.	But for you-all, there would be any doctors here.
His escape would imply guilt, and his family wouldn't want any questions asked.	His escape would imply guilt, and his family would want any questions asked.
I hadn't heard any footsteps after the car door had slammed out there on the quay.	I had heard any footsteps after the car door had slammed out there on the quay.
I had options, yes, but there weren't any others 1 could choose at this particular time.	I had options, yes, but there were any others 1 could choose at this particular time.
There weren't any windows on this side.	There were any windows on this side.
There weren't any guards at the perimeter.	There were any guards at the perimeter.
There weren't any ledges in this cave, in this one where I was trapped.	There were any ledges in this cave, in this one where I was trapped.
There wouldn't have been any signals on a thing like that.	There would have been any signals on a thing like that.
A lot of them are like that: they work to strict orders and when there aren't any orders they beat the air.	A lot of them are like that: they work to strict orders and when there are any orders they beat the air.
There aren't any rocks on the skyline.	There are any rocks on the skyline.
In Prague there weren't any talks set up.	In Prague there were any talks set up.
I waited and listened but I didn't hear any footsteps and I thought I'd imagined them.	I waited and listened but I heard any footsteps and I thought I'd imagined them.
We're in the parish, of course, but there aren't any houses until you get to the village.	We're in the parish, of course, but there are any houses until you get to the village.
Weren't any buses along that road.	Were any buses along that road.
You didn't see any signs of this - Japp indicated the little wasp-like dart.	You saw any signs of this - Japp indicated the little wasp-like dart.
There aren't any clues in this case.	There are any clues in this case.
I didn't know she had any friends in this part of the world.	I knew she had any friends in this part of the world.
There haven't been any murders here for ages.	There have been any murders here for ages.
The sheet was clean because Barbara hadn't written any letters that day.	The sheet was clean because Barbara had written any letters that day.
Anyway,' said Tuppence, 'there weren't any flying-bombs in 1914.	Anyway,' said Tuppence, 'there were any flying-bombs in 1914.
Oh, I'm sure, Mr Beresford, I don't see any signs of alcoholic difficulties in you.	Oh, I'm sure, Mr Beresford, I see any signs of alcoholic difficulties in you.
Though frankly I haven't seen any signs of it in Laura.	Though frankly I have seen any signs of it in Laura.
"Sometimes,"" said Wagstaffe virtuously, ""I think collectors haven't any morals at all."	"Sometimes,"" said Wagstaffe virtuously, ""I think collectors have any morals at all."
And there doesn't seem to be any religious bias – such as we sometimes get.	And there seems to be any religious bias – such as we sometimes get.
It didn't need any anonymous letters to put me on his track.	It needed any anonymous letters to put me on his track.
But there aren't any witches nowadays, said Poppy staring at him.	But there are any witches nowadays, said Poppy staring at him.
"See here, he said, ""we don't want any lawyers mixed up in this."	"See here, he said, ""we want any lawyers mixed up in this."
But there won't be any delay-he's a terrific hustler.	But there will be any delay-he's a terrific hustler.
But I really don't see any signs of it in this case.	But I really see any signs of it in this case.
We don't get any clues as to Evans.	We get any clues as to Evans.
I haven't had any news of him for six months.	I have had any news of him for six months.
You'd think there weren't any writers left in our country.	You'd think there were any writers left in our country.
I don't know that any amends are necessary.	I know that any amends are necessary.
Death hadn't any terrors for me—the elaborate ceremony they made of their murders.	Death had any terrors for me—the elaborate ceremony they made of their murders.
I didn't remember any recruiters calling me at home in my previous life.	I remembered any recruiters calling me at home in my previous life.
I didn't see any tendons protruding so probably just some stitches were in order.	I saw any tendons protruding so probably just some stitches were in order.
And you have to make sure that there aren't any others out there.	And you have to make sure that there are any others out there.
But I don't have any sponsors from Jovian Gas or Standard Fuel.	But I have any sponsors from Jovian Gas or Standard Fuel.
I mean... we haven't got any orders to...	I mean... we have got any orders to...
I didn't tell him any specifics about our trip; Arrow would be coming tomorrow to give him a briefing.	I told him any specifics about our trip; Arrow would be coming tomorrow to give him a briefing.
Someone who hopefully wouldn't inflict any dents on the Jag.	Someone who hopefully would inflict any dents on the Jag.
The other players didn't take any hits and neither did I.	The other players took any hits and neither did I.
I didn't have any pockets so I slid them down the front of my slacks.	I had any pockets so I slid them down the front of my slacks.
If you are forced to leave I won't have any friends here.”	If you are forced to leave I will have any friends here.”
I don't see any signs of a domesticated herd.	I see any signs of a domesticated herd.
I don't have any brothers or sisters.	I have any brothers or sisters.
You won't hear any complaints about the lady in this house.	You will hear any complaints about the lady in this house.
They aren't taking any chances with us, he thought.	They are taking any chances with us, he thought.
